timestamp,ax,ay,az,gx,gy,gz
0.000,0.021,-0.013,9.812,0.0012,-0.0008,0.0003
0.005,0.023,-0.015,9.809,0.0011,-0.0007,0.0004
0.010,0.019,-0.011,9.814,0.0013,-0.0009,0.0002
0.015,0.022,-0.014,9.810,0.0010,-0.0006,0.0005
0.020,0.020,-0.012,9.811,0.0012,-0.0008,0.0003
0.025,0.018,-0.010,9.815,0.0014,-0.0010,0.0001
0.030,0.021,-0.013,9.812,0.0011,-0.0007,0.0004
0.035,0.023,-0.015,9.809,0.0012,-0.0008,0.0003
0.040,0.019,-0.011,9.814,0.0013,-0.0009,0.0002
0.045,0.022,-0.014,9.810,0.0010,-0.0006,0.0005
0.050,0.020,-0.012,9.811,0.0012,-0.0008,0.0003
0.055,0.018,-0.010,9.815,0.0014,-0.0010,0.0001
0.060,0.021,-0.013,9.812,0.0011,-0.0007,0.0004
0.065,0.023,-0.015,9.809,0.0012,-0.0008,0.0003
0.070,0.019,-0.011,9.814,0.0013,-0.0009,0.0002
0.075,0.022,-0.014,9.810,0.0010,-0.0006,0.0005
0.080,0.020,-0.012,9.811,0.0012,-0.0008,0.0003
0.085,0.018,-0.010,9.815,0.0014,-0.0010,0.0001
0.090,0.021,-0.013,9.812,0.0011,-0.0007,0.0004
0.095,0.023,-0.015,9.809,0.0012,-0.0008,0.0003
0.100,0.019,-0.011,9.814,0.0013,-0.0009,0.0002
